embedding_x,embedding_y
11.888291,17.069336
9.237153,12.700115
11.641881,16.500788
-10.258701,4.815039
20.216818,12.748639
10.07186,13.798697
12.357127,18.04012
-3.019608,14.613034
11.841983,16.961143
13.755811,2.8018184
13.064263,-4.553097
-11.363837,4.5379515
13.223103,18.827047
14.234842,-12.191641
11.752861,16.691286
13.192671,18.774698
8.5742655,-5.3634214
-11.205895,4.167642
5.7644124,-16.752611
12.72356,18.585238
12.513457,18.314316
-15.461813,6.38
11.0305805,15.218736
4.406693,13.025537
12.342968,18.020988
5.7502265,-16.766827
13.647864,7.1900296
9.582384,-15.637593
17.713202,7.964046
8.105085,5.280787
11.8339615,19.727543
17.010242,7.314972
9.313392,-14.803154
12.219145,-4.0871463
-9.850745,5.286423
4.372043,13.091341
13.196002,18.784142
16.937937,5.6091194
12.364295,18.239367
13.583971,6.4656043
4.0575547,13.647082
10.606095,12.294175
9.861097,19.091917
14.861728,-12.070988
10.106423,-15.025626
10.111507,-15.122042
9.532046,3.307599
13.196387,18.78047
16.92258,7.4574027
17.54932,8.866381
9.670436,-15.570254
0.7208291,13.930088
-6.324959,7.9720078
-4.4123445,-2.0297096
11.797511,12.609346
5.129887,-11.236824
-3.435205,5.9803996
11.787689,6.3667693
-4.4727726,-2.0910687
14.207342,-12.149356
10.964715,-8.526163
13.753431,2.8016422
-0.53096426,20.971123
8.121203,-5.7248487
-3.8839138,17.43385
-4.1144905,-0.3088004
13.210448,18.765017
17.202291,8.08422
13.12185,18.73233
10.847443,17.83203
12.335808,18.018232
11.002424,19.567581
5.7668767,-16.750257
4.973416,-11.526422
5.764483,-16.7527
-0.6573171,20.8406
9.275204,12.67705
12.763643,18.601528
9.406214,19.96861
10.380819,-14.916626
5.7830796,-16.73411
11.827889,16.123972
4.96069,-11.478726
8.852817,4.1971025
14.843263,-12.485709
11.718219,12.787677
-1.3240944,16.505693
9.469369,-15.618652
-4.485568,-2.104899
11.8544855,13.858631
13.761796,6.8574038
-9.8834,5.236423
4.285316,14.021313
6.3164825,-3.1426003
10.109179,13.735697
12.227609,-4.0928197
13.138,18.750114
11.950763,19.788958
9.595205,-15.658439
18.51107,9.214853
11.816241,13.159205
4.555028,-9.941544
-4.12545,-0.31562802
8.594565,13.099649
-4.357927,-1.9746013
-2.7730734,14.088483
9.394903,12.55905
11.857534,13.420532
6.1193423,-3.4314804
5.767103,-16.749916
9.672588,18.969309
5.912775,-3.6364567
-3.4236014,6.012755
5.763311,-16.75372
-1.4135791,16.406609
11.781176,16.843628
4.059192,13.66404
7.4027743,-6.2097473
12.688122,18.554848
10.002403,19.348295
12.150547,17.735197
9.375178,14.483886
-3.3763053,15.89527
9.599218,14.853613
13.202569,7.201758
10.993697,19.566917
10.188287,13.769311
5.7633114,-16.753706
12.206312,6.6098423
11.780635,6.379317
8.148352,-5.7073503
10.628599,15.065258
15.8388,-0.81586266
23.51476,4.75731
24.401218,5.1066775
14.842484,-11.851234
10.5875025,15.072711
6.2165833,-3.3102276
5.114427,-11.253188
17.197094,5.966848
6.5012126,-3.6286829
14.809631,-11.873438
12.08976,13.08684
10.108065,13.803843
24.411331,13.178909
11.733318,12.886692
9.177401,12.714493
10.566546,15.05362
23.895891,5.1482806
16.951311,5.641579
16.898916,5.644122
-1.0494434,10.511373
-11.362593,4.3480945
13.016731,-4.511768
9.6775465,12.368443
11.5609665,-12.099794
8.832962,4.2115164
13.389093,12.434721
7.319933,-3.6329858
6.1191015,-3.4460955
6.4020205,-3.5923214
12.684101,6.2465963
11.145801,15.301034
17.103287,5.996778
-4.5093575,-2.1266763
14.84384,-11.862412
-2.852296,14.244842
8.60363,-5.2192035
-2.6018856,-9.921926
8.598265,13.031927
12.614266,18.422457
-6.3112645,7.97867
12.317088,18.830101
17.58881,8.5414095
9.613236,12.386622
8.739945,12.878406
13.382658,12.426059
-5.498289,5.1128054
12.213013,-4.0833583
13.859747,2.9108117
11.805869,16.890236
-2.803877,13.919702
12.153163,17.743494
12.291826,14.645762
9.4802475,13.648093
11.12132,-13.225793
-6.4873943,7.2203197
13.6796875,7.0678935
13.174255,18.758331
-6.516853,7.302483
9.489136,12.486791
11.763086,19.609678
-4.3679843,16.6873
5.7670417,-16.74995
12.642264,18.400772
-6.5361414,7.285611
14.985103,-12.538699
7.406837,-6.2121696
5.7641973,-16.753006
14.857794,-11.951296
13.276763,6.1946745
5.763332,-16.753721
9.483905,-15.61111
9.806284,19.082592
9.142057,-14.975112
10.155001,13.765134
7.4063797,-6.2069917
9.245512,12.640285
-4.5207167,17.07977
9.491003,-15.683893
13.4339075,12.745686
11.953823,15.903995
-3.8487995,16.952234
-10.151055,4.8138623
-1.8910103,-4.6197467
4.5536327,-9.942497
23.353458,4.201155
11.575169,16.324526
1.1630698,0.46050444
-6.536458,7.242475
13.349644,6.977295
12.559666,18.4253
14.14925,11.624649
21.371925,-2.4485428
1.45017,9.459977
6.187766,5.764639
4.447319,3.851148
5.865772,9.279485
22.65477,-0.019636193
14.146624,11.624891
11.973845,19.79859
22.654753,-0.019585656
20.585436,-5.0743575
8.164693,-5.6952896
7.407313,-6.208437
13.115208,18.819656
4.434214,12.995236
-3.4215019,6.0160694
4.290199,13.5260105
10.585663,15.050036
17.696787,8.044687
17.669184,7.760691
-3.8916767,16.574135
13.230936,18.830841
13.206174,18.817047
9.454226,12.481395
12.213011,-4.0830665
17.30456,8.157665
-2.6274455,9.621547
12.506321,14.227955
-2.578186,9.671331
-3.9738953,16.371662
5.844813,9.282946
10.0726795,13.753088
9.3957,14.47449
-6.305091,8.0241165
11.740618,6.359341
11.806604,19.63322
14.158334,-12.159851
4.987578,-11.567517
13.2169075,18.83044
23.89369,5.2064314
10.274046,13.688689
3.9579766,-1.768967
18.800556,9.842897
7.3061037,-3.6336195
11.376299,13.215744
17.072285,6.9632287
12.675537,18.601902
24.267855,4.462333
10.084238,19.527496
13.875398,6.844556
11.998169,15.777976
13.172899,18.757717
11.931803,19.21623
4.3963785,13.027987
11.071355,15.288097
9.997339,19.352913
9.310347,12.576555
11.011302,19.56286
-4.481552,-2.0999737
11.830484,19.759499
11.512372,19.43728
11.905237,17.102478
13.268046,7.20031
11.8688965,19.737232
9.187625,20.148905
9.278092,20.068592
15.809232,-0.8186226
12.608535,18.578707
13.31899,2.410711
0.99239016,0.6953815
13.412721,13.228448
11.284799,6.2758007
11.929013,19.410116
23.903233,5.1557684
-9.775026,5.289166
24.263382,4.4585614
17.257467,8.150195
16.93636,5.62566
10.941671,-8.535392
